gender,strand,genre,musicApp,foreignLanguage,oftenListen,lyricImport,moodProd,concertExcite,hoursWeek
Male,Engineering,Lofi,Other,10,60,0,70,0,7
Female,Comp Sci,Pop,Other,30,70,65,70,30,30
Male,Engineering,Classical,Spotify,0,30,50,50,20,1
Male,Engineering,Rap,Apple Music,40,90,70,90,95,20
Female,Biochem,R&B,Spotify,30,89,98,100,100,15
Male,Biochem,Pop,Spotify,50,90,65,85,30,72
Male,Biochem,Pop,Other,10,90,40,60,70,20
Male,Comp Sci,Pop,Other,20,90,30,80,20,10
Male,Engineering,Pop,Other,20,40,20,40,40,3
Female,Engineering,Classical,Spotify,35.6,99.99,87.6,98,100,8
Female,Comp Sci,Pop,Apple Music,1,40,80,50,100,8
Female,Engineering,Pop,Spotify,70,100,70,100,50,21
Male,Comp Sci,Metal,Spotify,5,99,80,100,90,28
Male,Comp Sci,Jazz,Spotify,5,70,70,85,50,25
Female,Comp Sci,Pop,Other,40,90,40,80,100,45
Female,Comp Sci,Metal,Spotify,23,87,90,99,100,50
Female,Biochem,Classical,Other,8,90,25,50,10,7
Male,Comp Sci,Rap,Spotify,20,95,80,90,100,70
Female,Biochem,Metal,Other,15,80,60,80,100,24
Male,Engineering,Pop,Other,90,70,0,50,0,5
Male,Biochem,Classical,Spotify,50,60,40,70,80,3
Female,Biochem,Rap,Spotify,50,90,10,80,70,6
Male,Engineering,Rap,Spotify,50,70,50,25,80,15
Female,Biochem,Pop,Spotify,70,100,50,80,100,25
Female,Biochem,Rap,Spotify,2,98,70,10,100,50
Female,Biochem,Pop,Apple Music,10,90,90,100,100,25
Male,Biochem,Pop,Spotify,0,85,95,85,100,40
Female,Engineering,Metal,Other,5,80,10,50,50,20
Male,Comp Sci,Pop,Spotify,10,100,78,66,70,35
Male,Biochem,Pop,Apple Music,40,60,20,30,100,7
